pmcid,title,abstract
PMC5755876,Impact of influenza vaccine on childhood otitis media in Taiwan: A population-based study,"PURPOSE: Acute otitis media (AOM) is a common infectious disease in children and usually accompanied by a preceding viral respiratory tract infection, especially in the preschool-age population. The study aimed to evaluate impact of influenza vaccine on childhood otitis media. METHODS: This retrospective cohort study included data for 803,592 children (<10 years old) recorded in Taiwan’s National Health Insurance Research Database. AOM incidence and tympanostomy tube insertion incidence in each influenza season before and after the introduction of traditional injectable trivalent influenza vaccine (TIV) were compared using the Poisson regression analysis to estimate the incidence rate ratios (IRRs) and 95% confidence intervals (CIs). RESULTS: In children < 2 years old, the age group eligible for free influenza vaccination, there was a significant reduction in seasonal AOM incidence after TIV introduction in 2004 (from 98.4 episodes/1000 person-seasons [95% CI: 96.4–100.5] to 66.1 episodes/1000 person-seasons [95% CI: 64–68.1]). In addition, with the increased vaccine coverage rate, the outpatient visits for AOM in the influenza season of 2005 and 2006 were significantly lower than that in 2004 (IRR = 0.85 and 0.80, respectively, p < 0.0001). CONCLUSIONS: A significant reduction in primary care consultations for children <2 years old was observed after the introduction of the TIV in Taiwan in 2004. With the increased vaccine coverage, there was an additional decline in 2005 and 2006. In addition of the direct protection provided by the vaccination, we believe that TIV may have induced some herd immunity that further contributed to the reduction in influenza attack rates and the rates of associated AOM in that age group. These reductions were observed only in vaccine-eligible children, while older children, who were not enrolled in the influenza vaccination program during the study period, have experienced increases in the AOM incidence during the 2004–2006 period compared to the 2000–2003 period."
PMC5907417,Review of targeted therapy in chronic lymphocytic leukemia: what a radiologist needs to know about CT interpretation,"The last 5 years have been marked by profound innovation in the targeted treatment of chronic lymphocytic leukemia (CLL) and indolent lymphomas. Using CLL as a case study, we present a timeline and overview of the current treatment landscape for the radiologist, including an overview of clinical and radiological features of CLL, discussion of the targeted agents themselves, and the role of imaging in response and toxicity assessment. The goal is to familiarize the radiologist with multiple Food and Drug Administration (FDA)-approved targeted agents used in this setting and associated adverse events which are commonly observed in this patient population."
PMC6083907,Heterosubtypic Protections against Human-Infecting Avian Influenza Viruses Correlate to Biased Cross-T-Cell Responses,"Against a backdrop of seasonal influenza virus epidemics, emerging avian influenza viruses (AIVs) occasionally jump from birds to humans, posing a public health risk, especially with the recent sharp increase in H7N9 infections. Evaluations of cross-reactive T-cell immunity to seasonal influenza viruses and human-infecting AIVs have been reported previously. However, the roles of influenza A virus-derived epitopes in the cross-reactive T-cell responses and heterosubtypic protections are not well understood; understanding those roles is important for preventing and controlling new emerging AIVs. Here, among the members of a healthy population presumed to have previously been infected by pandemic H1N1 (pH1N1), we found that pH1N1-specific T cells showed cross- but biased reactivity to human-infecting AIVs, i.e., H5N1, H6N1, H7N9, and H9N2, which correlates with distinct protections. Through a T-cell epitope-based phylogenetic analysis, the cellular immunogenic clustering expanded the relevant conclusions to a broader range of virus strains. We defined the potential key conserved epitopes required for cross-protection and revealed the molecular basis for the immunogenic variations. Our study elucidated an overall profile of cross-reactivity to AIVs and provided useful recommendations for broad-spectrum vaccine development."
PMC6920537,Hospitalization Costs Associated with Bronchopulmonary Dysplasia in the First Year of Life,"OBJECTIVE: To determine costs of hospitalization associated with bronchopulmonary dysplasia (BPD) during the first year in very low birth weight infants. STUDY DESIGN: Retrospective cohort study of California births from 2008–2011 linking birth certificate, discharge records, and clinical data from California Perinatal Quality Care Collaborative. Inclusion: birthweight 401–1500 grams, gestational age <30 weeks, inborn or transferred within 2 days, alive at 36 weeks corrected, and without major congenital anomalies. Outcomes included cost and length of stay of initial hospitalization and re-hospitalizations. RESULT: Out of 7,998 eligible infants, 2,696 (33.7%) developed BPD. Median hospitalization cost in the first year was $377,871 per infant with BPD compared to $175,836 per infant without BPD (adjusted cost ratio 1.54, 95% confidence interval 1.49–1.59). Infants with BPD also had longer length of stay and a higher likelihood of rehospitalization. CONCLUSION: BPD is associated with substantial resource utilization. Prevention strategies could help conserve healthcare resources."
PMC7087157,High-flow nasal cannula oxygen for bronchiolitis in a pediatric ward: a pilot study,"High-flow nasal cannula (HFNC) is a widely used ventilatory support in children with bronchiolitis in the intensive care setting. No data is available on HFNC use in the general pediatric ward. The aim of this study was to evaluate the feasibility of HFNC oxygen therapy in infants hospitalized in a pediatric ward for moderate–severe bronchiolitis and to assess the changes in ventilatory parameters before and after starting HFNC support. This prospective observational pilot study was carried out during the bronchiolitis season 2011–2012 in a pediatric tertiary care academic center in Italy. Interruptions of HFNC therapy and possible side effects or escalation to other forms of respiratory support were recorded. Oxygen saturation (SpO(2)), end-tidal carbon dioxide (ETCO(2)), and respiratory rate (RR), measured for a baseline period of 1 h before and at specific time intervals in 48 h after the start of HFNC were recorded. Twenty-seven infants were included (median age 1.3 months; absolute range 0.3–8.5). No adverse events, no premature HFNC therapy termination, and no escalation to other forms of respiratory support were recorded. Median SpO(2) significantly increased by 1–2 points after changing from standard oxygen to HFNC (p <0.001). Median ETCO(2) and RR rapidly decreased by 6–8 mmHg and 13–20 breaths per minute, respectively, in the first 3 h of HFNC therapy (p <0.001) and remained steady thereafter. Conclusions: Use of HFNC for oxygen administration is feasible for infants with moderate–severe bronchiolitis in a general pediatric ward. In these children, HFNC therapy improves oxygen saturation levels and seems to be associated with a decrease in both ETCO(2) and RR."
PMC7096894,Management guidelines for paediatric patients receiving chimeric antigen receptor T cell therapy,"In 2017, an autologous chimeric antigen receptor (CAR) T cell therapy indicated for children and young adults with relapsed and/or refractory CD19(+) acute lymphoblastic leukaemia became the first gene therapy to be approved in the USA. This innovative form of cellular immunotherapy has been associated with remarkable response rates but is also associated with unique and often severe toxicities, which can lead to rapid cardiorespiratory and/or neurological deterioration. Multidisciplinary medical vigilance and the requisite health-care infrastructure are imperative to ensuring optimal patient outcomes, especially as these therapies transition from research protocols to standard care. Herein, authors representing the Pediatric Acute Lung Injury and Sepsis Investigators (PALISI) Network Hematopoietic Stem Cell Transplantation (HSCT) Subgroup and the MD Anderson Cancer Center CAR T Cell Therapy-Associated Toxicity (CARTOX) Program have collaborated to provide comprehensive consensus guidelines on the care of children receiving CAR T cell therapy."
PMC7101778,Appropriate dose reduction in induction therapy is essential for the treatment of infants with acute myeloid leukemia: a report from the Japanese Pediatric Leukemia/Lymphoma Study Group,"Infants (<1 year old) with acute myeloid leukemia (AML) are particularly vulnerable to intensive cytotoxic therapy. Indeed, the mortality rate was high among infants enrolled in the Japanese Pediatric Leukemia/Lymphoma Study Group AML-05 study, which prompted us to temporarily suspend patient enrollment and amend the protocol. Forty-five infants with AML were enrolled. For patients aged <2 years, drug doses were adjusted for body weight. Following the protocol amendments, doses for infants were reduced by a further 33 % in the initial induction course. Six infants died during the induction phase (including five early deaths), mainly due to pulmonary complications. The 3-year probability of overall survival (pOS) in all 45 infants [55.9 %, 95 % confidence interval (CI) 37.9–70.6 %] was significantly lower than that of patients aged 1 to <2 years (77.0 %, 95 % CI 62.7–86.3 %) and those aged ≥2 years (74.7 %, 95 % CI 69.2–79.4 %) (P = 0.037), mainly due to the higher non-relapse mortality rate in infants. No early deaths occurred after the protocol amendments, and the 3-year pOS of the 17 infants enrolled thereafter was 76.4 % (95 % CI 48.8–90.4 %). In conclusion, appropriate dose reduction is essential to avoid early deaths when treating infants with AML."
PMC7120483,"Exploring the Ligand-Protein Networks in Traditional Chinese Medicine: Current Databases, Methods and Applications","While the concept of “single component–single target” in drug discovery seems to have come to an end, “Multi-component–multi-target” is considered to be another promising way out in this field. The Traditional Chinese Medicine (TCM), which has thousands of years’ clinical application among China and other Asian countries, is the pioneer of the “Multi-component–multi-target” and network pharmacology. Hundreds of different components in a TCM prescription can cure the diseases or relieve the patients by modulating the network of potential therapeutic targets. Although there is no doubt of the efficacy, it is difficult to elucidate convincing underlying mechanism of TCM due to its complex composition and unclear pharmacology. Without thorough investigation of its potential targets and side effects, TCM is not able to generate large-scale medicinal benefits, especially in the days when scientific reductionism and quantification are dominant. The use of ligand-protein networks has been gaining significant value in the history of drug discovery while its application in TCM is still in its early stage. This article firstly surveys TCM databases for virtual screening that have been greatly expanded in size and data diversity in recent years. On that basis, different screening methods and strategies for identifying active ingredients and targets of TCM are outlined based on the amount of network information available, both on sides of ligand bioactivity and the protein structures. Furthermore, applications of successful in silico target identification attempts are discussed in details along with experiments in exploring the ligand-protein networks of TCM. Finally, it will be concluded that the prospective application of ligand-protein networks can be used not only to predict protein targets of a small molecule, but also to explore the mode of action of TCM."
PMC7161860,Successful and safe use of 2 min cold atmospheric argon plasma in chronic wounds: results of a randomized controlled trial,"Background The development of antibiotic resistance by microorganisms is an increasing problem in medicine. In chronic wounds, bacterial colonization is associated with impaired healing. Cold atmospheric plasma is an innovative promising tool to deal with these problems. Objectives The 5‐min argon plasma treatment has already demonstrated efficacy in reducing bacterial numbers in chronic infected wounds in vivo. In this study we investigated a 2‐min plasma treatment with the same device and the next‐generation device, to assess safety and reduction in bacterial load, regardless of the kind of bacteria and their resistance level in chronic wounds. Methods Twenty‐four patients with chronic infected wounds were treated in a prospective randomized controlled phase II study with 2 min of cold atmospheric argon plasma every day: 14 with MicroPlaSter alpha device, 10 with MicroPlaSter beta device (next‐generation device) in addition to standard wound care. The patient acted as his/her own control. Bacterial species were detected by standard bacterial swabs and bacterial load by semiquantitative count on nitrocellulose filters. The plasma settings were the same as in the previous phase II study in which wounds were exposed for 5 min to argon plasma. Results Analysis of 70 treatments in 14 patients with the MicroPlaSter alpha device revealed a significant (40%, P < 0·016) reduction in bacterial load in plasma‐treated wounds, regardless of the species of bacteria. Analysis of 137 treatments in 10 patients with the MicroPlaSter beta device showed a highly significant reduction (23·5%, P < 0·008) in bacterial load. No side‐effects occurred and the treatment was well tolerated. Conclusions A 2‐min treatment with either of two cold atmospheric argon plasma devices is a safe, painless and effective technique to decrease the bacterial load in chronic wounds."
PMC7184712,Noninvasive oxygenation strategies in adult patients with acute respiratory failure: a protocol for a systematic review and network meta-analysis,"BACKGROUND: Acute hypoxemic respiratory failure is one of the leading causes of intensive care unit admission and is associated with high mortality. Noninvasive oxygenation strategies such as high-flow nasal cannula, standard oxygen therapy, and noninvasive ventilation (delivered by either face mask or helmet interface) are widely available interventions applied in these patients. It remains unclear which of these interventions are more effective in decreasing rates of invasive mechanical ventilation and mortality. The primary objective of this network meta-analysis is to summarize the evidence and compare the effect of noninvasive oxygenation strategies on mortality and need for invasive mechanical ventilation in patients with acute hypoxemic respiratory failure. METHODS: We will search key databases for randomized controlled trials assessing the effect of noninvasive oxygenation strategies in adult patients with acute hypoxemic respiratory failure. We will exclude studies in which the primary focus is either acute exacerbations of chronic obstructive pulmonary disease or cardiogenic pulmonary edema. The primary outcome will be all-cause mortality (longest available up to 90 days). The secondary outcomes will be receipt of invasive mechanical ventilation (longest available up to 30 days). We will assess the risk of bias for each of the outcomes using the Cochrane Risk of Bias Tool. Bayesian network meta-analyses will be conducted to obtain pooled estimates of head-to-head comparisons. We will report pairwise and network meta-analysis treatment effect estimates as risk ratios and 95% credible intervals. Subgroup analyses will be conducted examining key populations including immunocompromised hosts. Sensitivity analyses will be conducted by excluding those studies with high risk of bias and different etiologies of acute respiratory failure. We will assess certainty in effect estimates using GRADE methodology. DISCUSSION: This study will help to guide clinical decision-making when caring for adult patients with acute hypoxemic respiratory failure and improve our understanding of the limitations of the available literature assessing noninvasive oxygenation strategies in acute hypoxemic respiratory failure. SYSTEMATIC REVIEW REGISTRATION: PROSPERO CRD42019121755"
PMC7223555,"Closer and closer? Maternal immunization: current promise, future horizons","This state-of-the art manuscript highlights our current understanding of maternal immunization—the practice of vaccinating pregnant women to confer protection on them as well as on their young infants, and thereby reduce vaccine-preventable morbidity and mortality. Advances in our understanding of the immunologic processes that undergird a normal pregnancy, studies from vaccines currently available and recommended for pregnant women, and vaccines for administration in special situations are beginning to build the case for safe scale-up of maternal immunization. In addition to well-known diseases, new diseases are emerging which pose threats. Several new vaccines are currently under development and increasingly include pregnant women. In this manuscript, targeted at clinicians, vaccinologists, scientists, public health practitioners, and policymakers, we also outline key considerations around maternal immunization introduction and delivery, discuss noninfectious horizons for maternal immunization, and provide a framework for the clinician faced with immunizing a pregnant woman."
PMC7223819,A multidisciplinary quality improvement effort to reduce bronchopulmonary dysplasia incidence,"BACKGROUND: Bronchopulmonary Dysplasia (BPD) is the most common prematurity complication. Although several practices have been proposed for BPD prevention, none of these in isolation prevent BPD. METHODS: Our initiative focused on two key drivers: oxygen management and noninvasive ventilation strategies. We created best practice guidelines and followed outcome measures using Shewhart control charts. RESULTS: PDSAs of protocols preceded a large-scale rollout of a “0.21 by 28” campaign in 2014 leading to a special cause reduction in the “any BPD” rate, and a decrease in severe BPD (from 57 to 29%). At the end of 2017, we reinvigorated the project, which led to dramatic decreases in the “any BPD” rate to 41% and the “severe BPD” rate to 21%. CONCLUSIONS: A multidisciplinary QI initiative focused on process improvement geared towards the pathophysiological contributors of BPD has successfully reduced the rate of BPD in an all referral level IV NICU."
PMC7123853,Anti-infective Compounds from Marine Organisms,"The marine environment is a prolific source of bioactive compounds. During the last decades, research on marine-derived plants, animals, and microbes has provided an impressive number of structurally diverse anti-infective agents with antibacterial, antifungal, antiprotozoal, or antiviral activities. Moreover, several of these compounds possess novel mechanisms of action, which underlines their potential as leads in drug discovery. The present chapter provides an overview on marine-derived anti-infective agents, covering the literature between 2010 and 2016, with special focus on their structural features and mechanisms of action."
PMC7357263,The Changing Landscapes in DCD Liver Transplantation,"PURPOSE OF REVIEW: The transplant community continues to look for ways to help address the discordance between donor liver graft availability and patients on the liver transplant waiting list. Donation after circulatory death (DCD) donor livers represents one potential means to help address this discordance. The present review describes the changing landscape of DCD liver transplantation (LT). RECENT FINDINGS: The number of DCD LTs performed annually within the USA has continued to grow on an annual basis. Importantly, national data has demonstrated that outcomes with DCD LT have been improving. This improvement has been driven by better understanding of how to successfully utilize these organs through better donor and recipient matching and careful evaluation of both hemodynamics during withdrawal of life support and the refinement of the procurement operation. SUMMARY: Despite these improvements in outcome, ischemic cholangiopathy (IC) continues to be the Achilles heel of DCD LT. Emerging technologies such as various forms of machine perfusion may allow for reduction of complications and better prognostication of the risk associated with DCD liver grafts."
