pmcid,doi,citations,author,author_link,author_h_index,publisher_link,author_citations
PMC7123727,10.1007/978-94-024-1263-5_10,17,OC Demurtas,https://scholar.google.com//citations?user=TugpcFgAAAAJ&hl=en&oi=sra,14,https://link.springer.com/chapter/10.1007/978-94-024-1263-5_10,705
PMC7123730,10.1007/978-3-0348-0218-5_18,1,WC Liles,https://scholar.google.com//citations?user=raG3ExEAAAAJ&hl=pt-BR&oi=sra,80,https://link.springer.com/chapter/10.1007/978-3-0348-0218-5_18,25746
PMC7123735,10.1007/978-3-030-05070-2_24,5,KK Tanabe;JM Farma;JS Zager,https://scholar.google.com//citations?user=iju2yMwAAAAJ&hl=en&oi=sra;https://scholar.google.com//citations?user=gT2eszwAAAAJ&hl=en&oi=sra;https://scholar.google.com//citations?user=7Qw6ZKoAAAAJ&hl=en&oi=sra,56,https://link.springer.com/content/pdf/10.1007/978-3-030-05070-2_24.pdf,13362
PMC7123738,10.1007/978-3-319-07203-6_1,0,,,0,https://link.springer.com/chapter/10.1007/978-3-319-07203-6_1,0
PMC7123749,10.1007/978-1-60327-534-7_31,0,MB Loeb,https://scholar.google.com//citations?user=PKa175QAAAAJ&hl=en&oe=ASCII&oi=sra,99,https://link.springer.com/chapter/10.1007/978-1-60327-534-7_31,42144
PMC7123753,10.1007/978-3-319-19617-6_22,13,,,0,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC7123753/,0
PMC7123774,10.1007/978-3-319-24274-3_5,91,,,0,https://link.springer.com/chapter/10.1007/978-3-319-24274-3_5,0
PMC7123782,10.1007/978-3-0346-0279-2_19,4,,,0,https://link.springer.com/chapter/10.1007/978-3-0346-0279-2_19,0
PMC7123788,10.1007/978-3-0346-0279-2_6,9,R Lambkin-Williams,https://scholar.google.com//citations?user=33rtRk8AAAAJ&hl=en&oi=sra,62,https://link.springer.com/chapter/10.1007/978-3-0346-0279-2_6,18080
PMC7123790,10.1007/978-3-319-30379-6_31,19,SR Walsh;AR Willms,https://scholar.google.com//citations?user=SA7tf5IAAAAJ&hl=en&oi=sra;https://scholar.google.com//citations?user=RwbhrSgAAAAJ&hl=en&oi=sra,17,https://link.springer.com/chapter/10.1007/978-3-319-30379-6_31,1510
PMC7123792,10.1007/978-3-319-13832-9_17,1,,,0,https://link.springer.com/chapter/10.1007/978-3-319-13832-9_17,0
PMC7123798,10.1007/978-3-319-27027-2_15,54,,,0,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC7123798/,0
PMC7123816,10.1007/978-3-319-39141-0_9,11,,,0,https://link.springer.com/article/10.1007/s11695-021-05641-1,0
PMC7123817,10.1007/978-3-319-74588-6_43,8,,,0,https://link.springer.com/content/pdf/10.1007/978-3-319-74588-6_43.pdf,0
PMC7123818,10.1007/978-3-319-39328-5_5,1,,,0,https://link.springer.com/chapter/10.1007/978-3-319-39328-5_5,0
PMC7123824,10.1007/978-3-319-77674-3_17,8,A Katragkou;E Roilides,https://scholar.google.com//citations?user=ntrRTUcAAAAJ&hl=en&oi=sra;https://scholar.google.com//citations?user=4sdGdA0AAAAJ&hl=en&oi=sra,90,https://link.springer.com/chapter/10.1007/978-3-319-77674-3_17,34610
PMC7123827,10.1007/978-3-030-00710-2_14,0,,,0,https://www.intechopen.com/chapters/86836,0
PMC7123835,10.1007/978-3-319-07758-1_7,10,,,0,https://link.springer.com/chapter/10.1007/978-3-319-07758-1_7,0
PMC7123839,10.1007/978-3-030-04477-0_12,50,KM Varier;M Gudeppu;J Balasubramanian,https://scholar.google.com//citations?user=jLqMyQkAAAAJ&hl=en&oi=sra;https://scholar.google.com//citations?user=9UowfjkAAAAJ&hl=en&oi=sra;https://scholar.google.com//citations?user=yC5fXMsAAAAJ&hl=en&oi=sra,4,https://link.springer.com/chapter/10.1007/978-3-030-04477-0_12,89
PMC7123845,10.1007/978-3-642-02974-5_11,4,AS BaHammam,https://scholar.google.com//citations?user=eQccQSQAAAAJ&hl=de&oi=sra,61,https://link.springer.com/chapter/10.1007/978-3-642-02974-5_11,12499
PMC7123850,10.1007/978-3-319-18392-3_8,2,M Witzenrath,https://scholar.google.com//citations?user=SkTUx9kAAAAJ&hl=sv&oi=sra,59,https://link.springer.com/chapter/10.1007/978-3-319-18392-3_8,14914
PMC7123852,10.1007/978-3-030-01322-6_9,8,N Bhatt,https://scholar.google.com//citations?user=Xv1-zyoAAAAJ&hl=en&oi=sra,20,https://link.springer.com/chapter/10.1007/978-3-030-01322-6_9,1251
PMC7123853,10.1007/978-3-319-69075-9_3,6,E Ancheeva;M El-Neketi;G Daletos;W Ebrahim,https://scholar.google.com//citations?user=HSFcgBQAAAAJ&hl=sv&oi=sra;https://scholar.google.com//citations?user=rLpUdSYAAAAJ&hl=sv&oi=sra;https://scholar.google.com//citations?user=LmN1tBcAAAAJ&hl=sv&oi=sra;https://scholar.google.com//citations?user=bYfAugIAAAAJ&hl=sv&oi=sra,25,https://link.springer.com/chapter/10.1007/978-3-319-69075-9_3,1599
PMC7123871,10.1007/978-3-642-16155-1_6,0,EJ Dann,https://scholar.google.com//citations?user=6JNuuB0AAAAJ&hl=en&oi=sra,38,https://link.springer.com/chapter/10.1007/978-3-642-16155-1_6,5019
PMC7123882,10.1007/978-3-030-15394-6_9,3,,,0,https://link.springer.com/chapter/10.1007/978-3-030-15394-6_9,0
PMC7123931,10.1007/978-3-642-20910-9_18,1,,,0,https://link.springer.com/chapter/10.1007/978-3-642-20910-9_18,0
PMC7123938,10.1007/978-3-319-92387-1_7,41,,,0,https://link.springer.com/chapter/10.1007/978-3-319-92387-1_7,0
PMC7123939,10.1007/978-3-030-01322-6_14,1,M Zinter,https://scholar.google.com//citations?user=r7qW4jwAAAAJ&hl=en&oi=sra,23,https://link.springer.com/chapter/10.1007/978-3-030-01322-6_14,2653
PMC7123957,10.1007/978-3-319-17900-1_75,0,,,0,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC7123957/,0
PMC7123960,10.1007/978-3-319-39205-9_12,6,J Martin;D Cheng,https://scholar.google.com//citations?user=eoX0xY4AAAAJ&hl=en&oi=sra;https://scholar.google.com//citations?user=7aEnnQ4AAAAJ&hl=en&oi=sra,66,https://link.springer.com/chapter/10.1007/978-3-319-39205-9_12,22830
PMC7123991,10.1007/978-3-319-25832-4_9,1,,,0,https://link.springer.com/chapter/10.1007/978-3-319-25832-4_9,0
PMC7123996,10.1007/978-3-319-32564-4_5,2,,,0,https://link.springer.com/chapter/10.1007/978-3-319-32564-4_5,0
PMC7124020,10.1007/978-1-61779-983-9_14,9,,,0,https://www.ingentaconnect.com/content/ben/ctmc/2020/00000020/00000011/art00009,0
PMC7124023,10.1007/978-3-030-15346-5_13,10,,,0,https://link.springer.com/chapter/10.1007/978-3-030-15346-5_13,0
PMC7124050,10.1007/978-3-319-28797-3_6,13,,,0,https://link.springer.com/chapter/10.1007/978-3-319-28797-3_6,0
PMC7124064,10.1007/978-1-4939-1191-2_1,38,,,0,https://link.springer.com/chapter/10.1007/978-1-4939-1191-2_1,0
PMC7124065,10.1007/978-3-319-16015-3_13,1,,,0,https://link.springer.com/chapter/10.1007/978-3-319-16015-3_13,0
PMC7124072,10.1007/978-3-319-08057-4_4,7,,,0,https://link.springer.com/chapter/10.1007/978-3-319-08057-4_4,0
PMC7124075,10.1007/978-3-030-00710-2_22,41,JS Wagener,https://scholar.google.com//citations?user=BI3hYfMAAAAJ&hl=pt-BR&oi=sra,52,https://link.springer.com/chapter/10.1007/978-3-030-00710-2_22,14221
PMC7124099,10.1007/978-3-319-29683-8_10,8,,,0,https://link.springer.com/chapter/10.1007/978-3-319-29683-8_10,0
PMC7124100,10.1007/978-3-642-30574-0_32,0,F Ambrogi;EM Biganzoli,https://scholar.google.com//citations?user=oQR9Bp0AAAAJ&hl=en&oi=sra;https://scholar.google.com//citations?user=HcZBtrEAAAAJ&hl=en&oi=sra,47,https://link.springer.com/chapter/10.1007/978-3-642-30574-0_32,10357
PMC7124104,10.1007/978-3-319-33673-2_4,24,,,0,https://link.springer.com/content/pdf/10.1007/978-3-319-33673-2_4.pdf,0
PMC7124108,10.1007/978-3-319-92765-7_3,6,MO Afolabi,https://scholar.google.com//citations?user=JcJFzIoAAAAJ&hl=en&oi=sra,6,https://link.springer.com/chapter/10.1007/978-3-319-92765-7_3,144
PMC7124110,10.1007/978-3-319-33341-0_10,1,,,0,https://link.springer.com/chapter/10.1007/978-3-319-33341-0_10,0
PMC7124112,10.1007/978-3-319-11020-2_38,5,,,0,https://link.springer.com/chapter/10.1007/978-3-319-11020-2_38,0
PMC7124131,10.1007/978-3-319-54600-1_14,43,J Xu;PJ Weathers,https://scholar.google.com//citations?user=zWuf5HkAAAAJ&hl=en&oi=sra;https://scholar.google.com//citations?user=ji1pRMMAAAAJ&hl=en&oi=sra,49,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC7124131/,7491
PMC7124147,10.1007/978-3-642-41027-7_14,10,F van der Kooy,https://scholar.google.com//citations?user=nV0tiUYAAAAJ&hl=pt-BR&oi=sra,26,https://link.springer.com/chapter/10.1007/978-3-642-41027-7_14,2673
PMC7125794,10.1016/s0889-8561(05)70345-3,6,,,0,https://www.sciencedirect.com/science/article/pii/S0889856105703453,0
PMC7125815,10.1016/s0889-8561(05)70155-7,0,,,0,https://www.sciencedirect.com/science/article/pii/S0889856105701557,0
PMC7130454,10.1186/s13063-020-04237-x,18,AS Ramli;S Abdul-Razak;MR Isa;FH Yusoff;N Baharudin;MS Mohamed-Yassin,https://scholar.google.com//citations?user=dKqYhSUAAAAJ&hl=en&oi=sra;https://scholar.google.com//citations?user=Q9Y6oq0AAAAJ&hl=en&oi=sra;https://scholar.google.com//citations?user=KCx9eY0AAAAJ&hl=en&oi=sra;https://scholar.google.com//citations?user=s8ZXOggAAAAJ&hl=en&oi=sra;https://scholar.google.com//citations?user=grMKpzcAAAAJ&hl=en&oi=sra;https://scholar.google.com//citations?user=YxMP4gQAAAAJ&hl=en&oi=sra,6,https://link.springer.com/article/10.1186/s13063-020-04237-x,105
PMC7132721,10.1016/j.clinmicnews.2018.05.003,58,,,0,https://www.sciencedirect.com/science/article/pii/S0196439918300485,0
PMC7135044,10.1016/s0889-8561(05)70337-4,0,,,0,https://www.sciencedirect.com/science/article/pii/S0889856105703374,0
PMC7135675,10.1016/j.idairyj.2006.06.003,161,,,0,https://www.sciencedirect.com/science/article/pii/S0958694606001464,0
PMC7135906,10.1007/978-3-030-37323-8_4,6,,,0,https://link.springer.com/chapter/10.1007/978-3-030-37323-8_4,0
PMC7138429,10.1007/978-3-642-27426-8_18,0,BH Johnston,https://scholar.google.com//citations?user=28xPmr4AAAAJ&hl=ko&oi=sra,32,https://link.springer.com/chapter/10.1007/978-3-642-27426-8_18,2978
PMC7138456,10.1007/978-3-030-15394-6_13,0,L Ostrosky-Zeichner,https://scholar.google.com//citations?user=ESLymtoAAAAJ&hl=fr&oi=sra,69,https://link.springer.com/chapter/10.1007/978-3-030-15394-6_13,31278
PMC7148079,10.1007/978-3-030-45442-5_35,25,,,0,https://link.springer.com/chapter/10.1007/978-3-030-45442-5_35,0
PMC7148212,10.1007/978-3-030-45439-5_17,47,A Brack;J D'Souza;A Hoppe;S Auer;R Ewerth,https://scholar.google.com//citations?user=4mGLmQgAAAAJ&hl=en&oi=sra;https://scholar.google.com//citations?user=0r9LGi4AAAAJ&hl=en&oi=sra;https://scholar.google.com//citations?user=pvwIZgoAAAAJ&hl=en&oi=sra;https://scholar.google.com//citations?user=2cpal78AAAAJ&hl=en&oi=sra;https://scholar.google.com//citations?user=rDiYRfwAAAAJ&hl=en&oi=sra,23,https://link.springer.com/chapter/10.1007/978-3-030-45439-5_17,1954
PMC7148735,10.1016/b978-0-12-415847-4.00064-1,5,,,0,https://www.sciencedirect.com/science/article/pii/B9780124158474000641,0
PMC7149338,10.1016/b978-0-12-804571-8.00027-5,4,,,0,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC7149338/,0
PMC7149507,10.1016/b978-0-12-374153-0.00004-7,35,,,0,https://www.sciencedirect.com/science/article/pii/B9780123741530000047,0
PMC7149535,10.1016/b978-0-12-801885-9.00005-6,1,,,0,https://www.sciencedirect.com/science/article/pii/B9780128018859000056,0
PMC7149566,10.1016/b978-0-12-420058-6.00004-6,1,,,0,https://www.sciencedirect.com/science/article/pii/B9780124200586000046,0
PMC7149660,10.1070/rcr4892,16,,,0,https://iopscience.iop.org/article/10.1070/RCR4892/meta,0
PMC7149688,10.1016/b978-0-12-410518-8.00012-0,3,,,0,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC7149688/,0
PMC7150297,10.1016/b978-0-7506-9003-4.50011-3,5,,,0,https://www.sciencedirect.com/science/article/pii/B9780750690034500113,0
PMC7151771,10.1016/b978-044451945-0/50014-5,16,,,0,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC7151771/,0
PMC7151846,10.1016/b978-0-407-38441-5.50025-1,0,,,0,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC7151846/,0
PMC7151966,10.1016/b978-0-08-088504-9.00072-6,35,,,0,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC7151966/,0
PMC7153043,10.1007/978-3-319-11044-8_20,4,,,0,https://link.springer.com/chapter/10.1007/978-3-319-11044-8_20,0
PMC7153047,10.1007/978-3-319-91080-2_4,1,,,0,https://link.springer.com/chapter/10.1007/978-3-319-91080-2_4,0
PMC7153416,10.1007/978-3-319-09686-5_9,0,FR Siegel,https://scholar.google.com//citations?user=hRgyJI8AAAAJ&hl=en&oi=sra,18,https://link.springer.com/chapter/10.1007/978-3-319-09686-5_9,2139
PMC7153417,10.1007/978-1-4939-3634-2_10,1,,,0,https://link.springer.com/chapter/10.1007/978-1-4939-3634-2_10,0
PMC7153438,10.1007/978-3-319-41912-1_8,0,,,0,https://link.springer.com/chapter/10.1007/978-3-319-41912-1_8,0
PMC7153447,10.1007/978-3-319-17900-1_33,7,,,0,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC7153447/,0
PMC7153453,10.1007/978-3-319-30472-4_3,20,,,0,https://link.springer.com/chapter/10.1007/978-3-319-30472-4_3,0
PMC7153455,10.1007/978-3-319-19668-8_24,2,LM Bigatello,https://scholar.google.com//citations?user=P-9TXVsAAAAJ&hl=en&oi=sra,38,https://link.springer.com/chapter/10.1007/978-3-319-19668-8_24,5345
PMC7153457,10.1007/978-3-642-37078-6_144,16,,,0,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC7153457/,0
PMC7153459,10.1007/978-3-319-32886-7_106,2,,,0,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC7153459/,0
PMC7153742,10.1007/978-0-387-93835-6_3,0,,,0,https://www.infona.pl/resource/bwmeta1.element.springer-18dbe960-c4a0-3269-83bb-2a8c5ee34ca9,0
